id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
3748084936;MicroservSummit;Microservices Summit;Berlin, Deutschland;http://t.co/nJivZe0Dys;27. - 29. Septmeber 2017 | Das große Trainingsevent für #Microservices | Impressum: https://t.co/vyElOzJSaa;False;298;85;28;76;726;2015-09-23 09:31:45;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/836215465856876544/r5p7rAtK_normal.jpg
3410230857;devternity;🚀 DevTernity;Riga, Latvia;http://t.co/zgjc19ZYlI;DevTernity is the premium-quality international software development conference in 🇱🇻 Riga, Latvia.;False;382;422;12;623;609;2015-08-09 12:40:01;en;http://pbs.twimg.com/profile_background_images/634812936070889476/XVV5m5_x.png;http://pbs.twimg.com/profile_images/900362712101859330/3RuYBCxW_normal.jpg
3391004140;ConLifecycleLon;Continuous Lifecycle;London, England;http://t.co/ziya9e4BS4;#CLL18 #Continuouslifecycle The #Devops, #ContinuousDelivery and #Containerization event. 15-18 May 2018;False;452;480;90;98;1796;2015-07-24 13:01:58;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/891915583889043457/RkKnC8Nm_normal.jpg
3328949777;SoftwArchSummit;Softw. Arch. Summit;München, Bayern;http://t.co/ugxFnDj0W7;Der nächste Software Architecture Summit findet vom 12. bis 14. März 2018 in München statt! Impressum: https://t.co/k1WOCEZju6;False;350;108;24;196;577;2015-06-16 08:09:54;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/910765317592436736/JdCcXwe9_normal.jpg
3307138813;KubeCon_;KubeCon;;https://t.co/3HO2UL6ser;The @Kubernetesio Community Conference, a @cloudnativefdn event.;False;6028;6;130;2340;1448;2015-08-05 16:20:00;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/913421906157592576/NmxUeefn_normal.jpg
3298518666;WikiDACH_org;WikiDACH;Mannheim, Baden-Württemberg;https://t.co/rkDrl8PJsH;Barcamp am 18./19. November 2017 zu Wikipedia, Mediawiki, Wikimedia Commons, Wikisource, Wikidata, Wikibooks, Wikivoyage etc. pp.;False;114;213;3;190;295;2015-07-27 20:19:26;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/625762701445206016/Wa8m-5rF_normal.png
3083829268;AngularConnect;AngularConnect;London;http://t.co/DvRxYxweHL;Europe's largest Angular conference • ExCeL, London • 7 & 8 Nov 2017;False;6880;251;173;1071;2060;2015-03-10 11:35:54;en-gb;http://pbs.twimg.com/profile_background_images/578927699806134272/Sw0AbyFL.png;http://pbs.twimg.com/profile_images/578876472875737088/mxduwMm2_normal.png
3065950817;hubconf;hub.berlin;Berlin;https://t.co/SycxTa1Ve0;Europe’s interactive business festival for digital movers and makers - Launching digital transformation into reality;False;6967;4124;153;253;1150;2015-03-02 10:31:11;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/574924523142705152/7oIbXJ2H_normal.png
3023155108;ReactAmsterdam;React Amsterdam;Amsterdam;https://t.co/eArkQOxoUl;#Reactjs Community behind #ReactAmsterdam Conference and Meetups around #NL;False;1991;521;78;840;1351;2015-02-07 12:14:52;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/784419046339084288/xf_5W0Q9_normal.jpg
3017872099;DOES_USA;DOES17 San Francisco;San Francisco, CA;https://t.co/innZ5yGgsO;We believe in helping leaders of large, complex organizations implement #DevOps principles and practices: #DOES17;False;3070;982;305;15997;13998;2015-02-12 23:47:47;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/890986703455793152/qofO3zcR_normal.jpg
2981154534;JekyllConf;JekyllConf;Global;https://t.co/xnne6RGjDi;The free, online global conference for all things Jekyll. Best practice, case studies and the future of #Jekyllrb | 7 May 2016;False;806;559;25;61;251;2015-01-14 01:05:36;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/583707922133196800/hPg7Kqqm_normal.png
2980633674;githubuniverse;GitHub Universe;San Francisco, CA;https://t.co/EGLKiCXTgc;San Francisco // October 10-12, 2017;False;3848;46;88;316;394;2015-01-13 21:43:27;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/907675205916487680/c8kbDIoM_normal.jpg
